STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
MAHARASHTRA,AMRAVATI COMMR.,2009,16,26,0,17,0,17,23,20,3,3,8,41,227,697,191,506,89,19,60,8,12,328,0,28,27,99,0,78,823,2629
MAHARASHTRA,AMRAVATI RURAL,2009,75,37,4,49,0,49,29,27,2,8,0,24,254,867,85,782,91,18,54,5,82,916,1,121,34,149,0,194,1197,4209
MAHARASHTRA,AURANGABAD COMMR.,2009,37,46,2,22,0,22,28,17,11,11,7,97,319,1123,510,613,159,33,124,1,8,478,5,61,21,159,0,158,828,3727
MAHARASHTRA,AURANGABAD RURAL,2009,44,37,5,14,0,14,5,4,1,18,5,20,158,465,159,306,204,6,43,3,32,675,28,49,4,248,0,274,597,2934
MAHARASHTRA,BEED,2009,80,53,1,26,0,26,36,20,16,48,6,93,284,525,166,359,499,24,113,2,38,940,16,79,10,389,0,276,800,4338
MAHARASHTRA,BHANDARA,2009,26,8,0,17,0,17,12,12,0,4,0,13,189,527,63,464,40,4,50,6,20,295,4,31,13,68,0,142,790,2259
MAHARASHTRA,BULDHANA,2009,53,59,0,27,0,27,29,23,6,18,5,37,261,827,176,651,199,14,69,8,56,780,27,128,55,221,0,223,1164,4260
MAHARASHTRA,CHANDRAPUR,2009,49,33,3,44,0,44,19,17,2,5,2,22,266,730,152,578,110,28,64,5,57,715,9,132,171,158,0,245,1616,4483
MAHARASHTRA,DHULE,2009,45,36,1,12,0,12,13,9,4,16,1,22,174,351,105,246,172,30,92,6,14,414,7,34,8,281,0,253,680,2662
MAHARASHTRA,GADCHIROLI,2009,66,45,4,12,0,12,14,13,1,19,0,5,81,165,34,131,20,4,9,2,75,201,1,23,6,27,0,79,330,1188
MAHARASHTRA,GONDIA,2009,43,23,1,33,0,33,20,17,3,4,3,9,143,334,57,277,32,3,44,4,30,322,3,67,21,48,0,133,591,1911
MAHARASHTRA,HINGOLI,2009,50,34,1,10,0,10,16,12,4,9,1,41,100,187,41,146,120,7,47,2,16,349,3,27,8,106,0,94,439,1667
MAHARASHTRA,JALGAON,2009,75,52,1,30,0,30,25,25,0,38,1,46,245,717,212,505,289,95,221,5,15,720,10,109,39,423,0,399,1182,4737
MAHARASHTRA,JALNA,2009,55,38,1,22,0,22,20,17,3,19,5,62,183,415,136,279,192,12,92,2,17,534,25,54,14,346,0,164,667,2939
MAHARASHTRA,KOLHAPUR,2009,46,36,1,35,0,35,22,18,4,17,0,49,295,745,330,415,215,101,283,4,22,437,18,61,15,130,0,313,1072,3917
MAHARASHTRA,LATUR,2009,70,36,1,33,0,33,28,28,0,14,3,33,212,427,198,229,195,8,84,4,24,715,15,49,0,159,0,209,1088,3407
MAHARASHTRA,MUMBAI COMMR.,2009,217,160,6,182,0,182,149,86,63,39,34,316,2769,12009,4183,7826,305,511,2132,129,14,3892,15,400,101,434,0,710,6738,31262
MAHARASHTRA,MUMBAI RLY.,2009,7,3,0,4,0,4,3,0,3,2,3,39,3,2076,0,2076,6,12,36,0,0,45,0,12,4,0,0,1,91,2347
MAHARASHTRA,NAGPUR COMMR.,2009,95,72,2,45,0,45,73,52,21,18,17,317,724,1733,831,902,209,68,302,19,16,791,7,60,39,232,0,260,2686,7785
MAHARASHTRA,NAGPUR RLY.,2009,4,3,0,1,0,1,1,1,0,11,5,20,2,942,22,920,6,3,6,7,0,21,0,7,2,0,0,1,118,1160
MAHARASHTRA,NAGPUR RURAL,2009,74,36,1,33,0,33,23,13,10,9,6,42,256,829,157,672,106,28,31,5,28,618,6,71,22,84,0,434,1241,3983
MAHARASHTRA,NANDED,2009,102,71,6,34,0,34,40,29,11,32,2,90,338,450,142,308,271,28,126,14,69,1151,30,62,3,346,0,247,1479,4991
MAHARASHTRA,NANDURBAR,2009,43,13,1,23,0,23,13,13,0,2,0,10,84,181,60,121,101,4,37,2,10,250,1,33,11,75,0,119,343,1356
MAHARASHTRA,NASIK COMMR.,2009,41,28,2,24,0,24,24,16,8,22,2,79,621,1705,850,855,137,21,173,12,22,247,5,49,20,131,0,333,520,4218
MAHARASHTRA,NASIK RURAL,2009,73,48,1,46,0,46,25,20,5,31,2,39,195,571,188,383,346,73,115,11,14,793,9,64,31,290,0,666,1397,4840
MAHARASHTRA,NAVI MUMBAI,2009,45,41,4,19,0,19,20,10,10,11,23,128,460,1774,875,899,139,72,313,13,3,411,6,36,34,84,0,396,844,4876
MAHARASHTRA,OSMANABAD,2009,33,23,0,20,0,20,19,16,3,25,3,37,153,285,81,204,162,20,81,1,19,516,3,64,9,153,0,212,854,2692
MAHARASHTRA,PARBHANI,2009,52,31,0,30,0,30,24,14,10,14,2,29,236,378,140,238,132,7,57,3,26,953,7,49,7,219,0,127,325,2708
MAHARASHTRA,PUNE COMMR.,2009,119,120,9,67,0,67,105,84,21,36,52,513,1305,5181,3261,1920,468,76,613,58,19,1215,7,100,72,235,0,539,2939,13848
MAHARASHTRA,PUNE RLY.,2009,3,3,0,1,0,1,2,1,1,9,0,23,1,443,2,441,4,2,5,0,0,5,0,0,0,0,0,2,38,541
MAHARASHTRA,PUNE RURAL,2009,125,61,6,72,0,72,57,38,19,45,19,116,746,1804,893,911,387,50,178,8,16,808,9,133,15,218,0,999,1665,7537
MAHARASHTRA,RAIGAD,2009,31,31,0,21,0,21,4,3,1,4,1,13,156,318,88,230,107,20,77,11,4,211,4,26,19,30,0,332,633,2053
MAHARASHTRA,RATNAGIRI,2009,24,4,0,14,0,14,12,8,4,3,0,14,103,212,46,166,99,25,53,12,19,179,0,36,20,51,0,129,468,1477
MAHARASHTRA,SANGLI,2009,67,32,0,37,0,37,22,9,13,7,3,25,219,513,155,358,175,15,194,7,37,417,12,45,10,66,0,296,578,2777
MAHARASHTRA,SATARA,2009,47,38,7,26,0,26,22,18,4,32,7,115,405,1023,409,614,216,52,163,1,18,398,4,57,7,131,0,443,1138,4350
MAHARASHTRA,SINDHUDURG,2009,11,5,1,8,0,8,4,3,1,1,0,8,97,132,40,92,52,15,53,7,9,109,1,12,6,11,0,86,244,872
MAHARASHTRA,SOLAPUR COMMR.,2009,18,19,0,22,0,22,7,6,1,3,1,30,145,347,166,181,47,3,97,3,3,133,0,10,5,68,0,101,403,1465
MAHARASHTRA,SOLAPUR RURAL,2009,80,68,5,50,0,50,43,29,14,37,6,79,332,584,203,381,309,37,175,1,24,693,5,96,0,210,0,477,1323,4634
MAHARASHTRA,THANE COMMR.,2009,122,74,2,66,0,66,87,55,32,16,25,170,1138,2770,1228,1542,320,170,860,32,8,1217,12,148,52,387,0,356,1538,9570
MAHARASHTRA,THANE RURAL,2009,138,47,4,53,0,53,34,20,14,30,11,98,587,1094,473,621,351,51,197,20,18,744,1,97,30,106,0,654,1055,5420
MAHARASHTRA,WARDHA,2009,29,28,4,41,0,41,18,15,3,6,4,38,251,800,86,714,112,17,49,9,58,766,1,84,32,100,0,187,1407,4041
MAHARASHTRA,WASHIM,2009,22,22,0,25,0,25,13,12,1,14,1,37,91,418,72,346,78,13,47,1,30,483,5,61,16,109,0,105,530,2121
MAHARASHTRA,YAVATMAL,2009,77,57,1,40,0,40,28,25,3,8,0,52,246,914,154,760,103,28,58,4,37,986,9,128,23,212,0,255,1384,4650
MAHARASHTRA,AHMEDNAGAR,2010,122,75,1,57,0,57,58,45,13,58,8,155,579,1517,536,981,570,47,254,9,46,718,10,115,1,604,0,703,1508,7215
MAHARASHTRA,AKOLA,2010,46,66,3,25,0,25,25,23,2,11,2,83,283,1053,183,870,172,25,113,5,45,815,12,100,55,149,0,151,1233,4472
MAHARASHTRA,AMRAVATI COMMR.,2010,11,30,4,20,0,20,31,28,3,3,8,54,232,988,238,750,55,31,63,6,16,456,3,52,12,96,0,68,840,3079
MAHARASHTRA,AMRAVATI RURAL,2010,64,37,1,40,0,40,31,29,2,10,2,25,248,850,110,740,118,15,55,2,68,1046,2,179,38,135,0,209,1399,4574
MAHARASHTRA,AURANGABAD COMMR.,2010,38,86,1,23,0,23,40,30,10,22,3,122,347,1012,474,538,138,26,207,1,15,467,10,52,39,157,0,162,985,3953
MAHARASHTRA,AURANGABAD RURAL,2010,49,33,4,16,0,16,16,12,4,17,4,30,225,532,166,366,240,13,81,1,30,607,21,56,14,303,0,308,623,3223
MAHARASHTRA,BEED,2010,86,74,6,28,0,28,44,29,15,37,5,71,298,523,181,342,297,19,95,4,39,879,11,87,11,360,0,290,785,4049
MAHARASHTRA,BHANDARA,2010,24,7,4,24,0,24,15,13,2,0,1,17,208,448,88,360,49,20,28,9,18,309,3,42,12,61,0,151,792,2242
MAHARASHTRA,BULDHANA,2010,59,48,4,29,0,29,21,18,3,8,3,36,174,642,183,459,255,26,77,8,70,751,34,131,40,185,0,290,1081,3972
MAHARASHTRA,CHANDRAPUR,2010,56,29,3,43,0,43,21,16,5,3,2,24,264,661,141,520,104,22,76,3,45,639,7,117,116,147,0,280,1344,4006
MAHARASHTRA,DHULE,2010,48,54,1,18,0,18,12,12,0,24,2,42,197,398,138,260,198,25,77,3,16,400,6,28,9,234,0,314,868,2974
MAHARASHTRA,GADCHIROLI,2010,58,30,1,16,0,16,11,9,2,6,1,11,93,124,34,90,21,5,14,0,46,202,0,28,0,20,0,97,298,1082
MAHARASHTRA,GONDIA,2010,29,15,4,28,0,28,18,15,3,3,0,20,191,323,76,247,48,16,35,5,22,361,3,80,27,41,0,128,585,1982
MAHARASHTRA,HINGOLI,2010,38,36,0,14,0,14,6,4,2,9,1,40,93,180,58,122,142,3,60,3,30,417,1,33,7,115,0,96,541,1865
MAHARASHTRA,JALGAON,2010,94,71,4,49,0,49,41,32,9,41,0,62,281,879,238,641,320,101,198,17,40,838,11,143,41,425,0,457,1295,5408
MAHARASHTRA,JALNA,2010,51,43,3,11,0,11,13,11,2,16,3,71,213,419,140,279,219,9,103,1,20,582,40,81,10,315,0,157,580,2960
MAHARASHTRA,KOLHAPUR,2010,52,30,1,27,0,27,22,13,9,13,2,45,229,700,334,366,218,67,267,5,16,462,18,71,12,96,0,383,991,3727
MAHARASHTRA,LATUR,2010,65,41,0,28,0,28,31,31,0,20,4,57,226,444,187,257,242,14,87,6,33,703,3,85,3,229,0,232,960,3513
MAHARASHTRA,MUMBAI COMMR.,2010,228,170,7,194,0,194,194,146,48,35,42,410,3059,13195,4167,9028,391,482,2211,76,22,4487,21,475,138,312,0,690,7093,33932
MAHARASHTRA,MUMBAI RLY.,2010,6,7,2,2,0,2,4,3,1,4,0,55,2,2037,1,2036,8,7,42,1,0,46,0,15,9,0,0,6,69,2322
MAHARASHTRA,NAGPUR COMMR.,2010,88,69,5,58,0,58,57,34,23,13,13,259,599,1732,852,880,183,72,264,24,20,842,8,87,48,175,0,332,2780,7728
MAHARASHTRA,NAGPUR RLY.,2010,10,3,0,1,0,1,3,2,1,7,2,43,2,942,19,923,10,6,3,5,1,25,0,8,2,0,0,1,61,1135
MAHARASHTRA,NAGPUR RURAL,2010,86,29,3,39,0,39,30,26,4,11,4,57,236,734,187,547,94,11,41,1,50,596,8,78,19,56,0,464,1275,3922
MAHARASHTRA,NANDED,2010,82,67,3,36,0,36,52,43,9,25,2,99,416,516,168,348,309,22,178,5,50,1181,68,85,5,315,0,276,1520,5312
MAHARASHTRA,NANDURBAR,2010,43,14,3,20,0,20,14,12,2,12,0,7,82,161,57,104,123,7,41,5,9,283,2,32,12,88,0,146,438,1542
MAHARASHTRA,NASIK COMMR.,2010,37,32,1,30,0,30,27,19,8,24,13,117,528,1882,963,919,146,52,187,23,17,268,2,46,18,124,0,217,693,4484
MAHARASHTRA,NASIK RURAL,2010,91,49,3,53,0,53,28,19,9,41,9,45,226,697,240,457,368,70,126,8,14,729,6,79,27,344,0,677,1321,5011
MAHARASHTRA,NAVI MUMBAI,2010,57,27,3,27,0,27,23,11,12,9,13,136,700,2040,1004,1036,135,72,452,5,6,462,3,36,38,89,0,432,1108,5873
MAHARASHTRA,OSMANABAD,2010,44,31,1,28,0,28,29,23,6,20,2,33,167,348,92,256,167,31,176,0,25,535,2,74,11,161,0,263,683,2831
MAHARASHTRA,PARBHANI,2010,41,49,4,20,0,20,36,21,15,11,4,60,318,416,139,277,183,15,84,1,34,1068,5,54,6,209,0,138,287,3043
MAHARASHTRA,PUNE COMMR.,2010,129,94,6,91,0,91,129,94,35,30,31,452,1250,4674,2948,1726,393,72,663,37,17,1169,4,78,91,214,0,620,3358,13602
MAHARASHTRA,PUNE RLY.,2010,0,1,0,0,0,0,2,1,1,7,2,7,0,375,2,373,2,3,3,0,0,6,0,1,0,0,0,0,30,439
MAHARASHTRA,PUNE RURAL,2010,141,81,15,72,0,72,48,33,15,42,30,145,642,1615,790,825,437,111,255,14,29,836,15,136,30,200,0,1096,1751,7741
MAHARASHTRA,RAIGAD,2010,44,22,5,15,0,15,11,7,4,11,6,17,127,284,78,206,86,21,113,6,11,222,0,39,10,49,0,351,556,2006
MAHARASHTRA,RATNAGIRI,2010,23,10,1,28,0,28,9,7,2,5,0,16,148,227,35,192,123,26,74,4,13,171,0,37,12,33,0,169,475,1604
MAHARASHTRA,SANGLI,2010,61,33,5,49,0,49,26,10,16,8,1,35,239,484,180,304,155,20,196,5,29,449,18,67,10,84,0,320,628,2922
MAHARASHTRA,SATARA,2010,43,59,2,27,0,27,42,29,13,28,3,76,412,869,330,539,247,102,177,6,21,472,0,82,19,170,0,509,983,4349
MAHARASHTRA,SINDHUDURG,2010,14,7,1,9,0,9,5,4,1,0,0,6,95,138,25,113,39,13,47,3,14,118,0,10,12,11,0,80,193,815
MAHARASHTRA,SOLAPUR COMMR.,2010,20,16,4,12,0,12,14,10,4,11,1,47,143,377,194,183,65,16,78,4,4,155,2,22,2,78,0,106,446,1623
MAHARASHTRA,SOLAPUR RURAL,2010,75,40,6,63,0,63,37,34,3,38,9,79,370,658,245,413,330,15,164,6,44,741,5,97,35,205,0,515,1219,4751
MAHARASHTRA,THANE COMMR.,2010,107,72,3,93,0,93,93,61,32,32,20,172,1080,3173,1493,1680,285,133,794,34,22,1322,9,152,32,365,0,343,1607,9943
MAHARASHTRA,THANE RURAL,2010,135,46,12,47,0,47,44,20,24,34,24,231,757,1242,560,682,373,40,299,11,29,817,6,95,42,120,0,683,1126,6213
MAHARASHTRA,WARDHA,2010,41,29,5,44,0,44,26,22,4,9,0,46,237,781,119,662,115,19,43,8,62,744,2,119,57,93,0,205,1197,3882
MAHARASHTRA,WASHIM,2010,40,21,2,12,0,12,17,14,3,6,2,28,121,377,102,275,100,9,33,4,31,385,5,56,10,102,0,120,589,2070
MAHARASHTRA,YAVATMAL,2010,68,43,5,33,0,33,52,49,3,4,1,78,280,898,181,717,139,17,50,5,40,915,7,121,38,165,0,273,1545,4777
MAHARASHTRA,AHMEDNAGAR,2011,107,108,3,78,0,78,82,59,23,64,20,161,626,1622,466,1156,679,32,273,8,43,779,32,160,5,677,0,713,1376,7648
MAHARASHTRA,AKOLA,2011,46,43,3,30,0,30,40,37,3,11,1,61,249,821,166,655,115,15,125,20,36,759,13,93,24,140,0,156,1224,4025
MAHARASHTRA,AMRAVATI COMMR.,2011,15,42,2,22,0,22,20,19,1,5,8,65,237,1004,236,768,68,18,70,11,8,364,2,49,13,94,0,91,723,2931
MAHARASHTRA,AMRAVATI RURAL,2011,58,38,2,69,0,69,29,27,2,11,0,35,222,779,85,694,92,13,40,3,81,923,3,142,43,104,0,207,1334,4228
MAHARASHTRA,AURANGABAD COMMR.,2011,41,118,1,16,0,16,35,24,11,23,5,152,380,852,429,423,154,21,194,5,26,470,7,65,29,122,0,168,897,3781
MAHARASHTRA,AURANGABAD RURAL,2011,60,48,2,18,0,18,16,12,4,14,2,34,184,512,149,363,277,9,58,1,37,695,36,78,12,212,0,296,613,3214
MAHARASHTRA,BEED,2011,61,72,8,32,0,32,58,37,21,48,7,88,325,496,171,325,333,52,158,1,45,953,11,99,14,378,0,322,669,4230
MAHARASHTRA,BHANDARA,2011,33,15,4,23,0,23,12,9,3,3,2,19,171,444,82,362,25,10,40,5,20,306,1,30,14,50,0,156,694,2077
MAHARASHTRA,BULDHANA,2011,60,41,1,26,0,26,28,27,1,11,1,35,168,610,177,433,233,27,120,3,45,768,14,124,24,194,0,265,1104,3902
MAHARASHTRA,CHANDRAPUR,2011,50,39,6,56,0,56,30,25,5,8,2,43,230,668,169,499,82,18,67,3,36,629,4,108,77,109,0,284,1279,3828
MAHARASHTRA,DHULE,2011,49,31,1,16,0,16,27,27,0,41,1,57,194,434,146,288,212,27,79,1,15,379,4,52,7,203,0,285,634,2749
MAHARASHTRA,GADCHIROLI,2011,82,27,1,20,0,20,5,3,2,2,0,10,55,102,27,75,21,1,11,0,40,196,0,24,3,23,0,103,231,957
MAHARASHTRA,GONDIA,2011,37,22,2,31,0,31,24,23,1,5,0,19,159,370,73,297,35,12,49,2,21,363,1,67,19,36,0,125,548,1947
MAHARASHTRA,HINGOLI,2011,39,33,0,18,0,18,12,8,4,3,3,15,87,160,35,125,131,10,55,0,32,411,0,42,5,82,0,86,519,1743
MAHARASHTRA,JALGAON,2011,81,72,4,48,0,48,57,25,32,21,4,80,274,982,260,722,356,107,308,7,31,788,8,146,51,364,0,467,1262,5518
MAHARASHTRA,JALNA,2011,47,40,2,15,0,15,20,17,3,16,10,52,226,485,156,329,203,16,95,0,18,604,23,73,10,289,0,196,577,3017
MAHARASHTRA,KOLHAPUR,2011,65,41,2,42,0,42,38,35,3,23,3,51,367,876,321,555,237,75,240,4,17,480,19,59,18,121,0,381,955,4114
MAHARASHTRA,LATUR,2011,68,48,3,17,0,17,37,37,0,16,3,50,251,404,181,223,280,11,128,1,26,684,4,57,0,156,0,215,959,3418
MAHARASHTRA,MUMBAI COMMR.,2011,203,180,4,221,0,221,221,166,55,28,46,467,2745,12983,4702,8281,379,553,1946,81,46,4302,14,553,162,393,0,656,6464,32647
MAHARASHTRA,MUMBAI RLY.,2011,12,2,1,3,0,3,9,6,3,2,0,63,3,2134,0,2134,6,6,50,1,0,56,0,8,3,0,0,1,111,2471
MAHARASHTRA,NAGPUR COMMR.,2011,114,74,13,45,0,45,40,24,16,12,11,198,734,2287,1142,1145,148,68,294,22,22,876,4,68,53,174,0,243,2563,8063
MAHARASHTRA,NAGPUR RLY.,2011,3,3,0,1,0,1,0,0,0,6,0,29,4,1059,15,1044,11,1,5,15,0,14,0,9,1,1,0,0,73,1235
MAHARASHTRA,NAGPUR RURAL,2011,65,31,5,44,0,44,25,24,1,5,6,36,206,873,173,700,86,31,55,6,45,591,11,65,15,62,0,484,1144,3891
MAHARASHTRA,NANDED,2011,90,76,3,32,0,32,52,43,9,15,4,59,389,498,149,349,315,34,209,3,67,1088,29,93,3,325,0,250,1528,5162
MAHARASHTRA,NANDURBAR,2011,43,16,1,20,0,20,18,15,3,12,1,10,71,180,54,126,90,8,39,3,3,278,0,40,7,87,0,141,418,1486
MAHARASHTRA,NASIK COMMR.,2011,37,32,4,25,0,25,16,11,5,28,6,154,516,2095,1079,1016,111,31,197,14,21,258,5,37,10,115,0,177,623,4512
MAHARASHTRA,NASIK RURAL,2011,86,59,1,43,0,43,33,28,5,28,8,52,226,655,202,453,359,49,171,6,9,758,5,91,33,298,0,672,1347,4989
MAHARASHTRA,NAVI MUMBAI,2011,70,22,4,38,0,38,32,17,15,15,5,316,688,1935,913,1022,129,81,410,9,6,504,1,57,33,110,0,368,825,5658
MAHARASHTRA,OSMANABAD,2011,42,35,0,30,0,30,28,18,10,17,7,24,220,346,88,258,230,19,142,0,18,626,2,88,11,186,0,277,735,3083
MAHARASHTRA,PARBHANI,2011,58,64,1,26,0,26,36,16,20,16,5,61,283,383,148,235,169,5,90,0,39,979,5,80,6,215,0,147,299,2967
MAHARASHTRA,PUNE COMMR.,2011,110,118,5,79,0,79,104,72,32,19,34,546,1192,4710,2869,1841,478,93,769,34,27,991,8,118,80,251,0,538,2318,12622
MAHARASHTRA,PUNE RLY.,2011,3,0,0,0,0,0,3,0,3,6,1,7,1,391,10,381,1,4,3,0,0,8,0,4,0,0,0,0,30,462
MAHARASHTRA,PUNE RURAL,2011,148,97,9,87,0,87,64,48,16,45,29,150,719,1778,824,954,409,56,298,15,46,789,16,122,26,172,0,1070,1757,7902
MAHARASHTRA,RAIGAD,2011,39,16,0,7,0,7,7,5,2,5,2,20,130,322,52,270,115,27,124,4,11,205,2,42,15,42,0,292,570,1997
MAHARASHTRA,RATNAGIRI,2011,15,12,2,30,0,30,12,10,2,4,0,16,139,228,33,195,78,30,62,2,25,169,1,35,18,49,0,148,388,1463
MAHARASHTRA,SANGLI,2011,53,29,4,40,0,40,22,13,9,10,0,22,178,544,265,279,163,14,218,9,27,385,5,51,8,98,0,315,548,2743
MAHARASHTRA,SATARA,2011,55,40,3,34,0,34,41,36,5,36,0,120,382,930,362,568,226,42,191,5,28,417,2,80,16,179,0,492,993,4312
MAHARASHTRA,SINDHUDURG,2011,12,7,2,11,0,11,10,7,3,1,0,19,72,92,10,82,42,14,70,1,15,107,0,8,12,5,0,84,208,792
MAHARASHTRA,SOLAPUR COMMR.,2011,24,29,2,22,0,22,29,18,11,25,5,74,205,520,288,232,110,7,115,2,9,172,0,31,9,68,0,96,411,1965
MAHARASHTRA,SOLAPUR RURAL,2011,107,47,4,53,0,53,43,32,11,26,9,79,285,729,226,503,401,19,136,4,40,725,6,94,32,175,0,576,1126,4716
MAHARASHTRA,THANE COMMR.,2011,127,65,4,79,0,79,92,70,22,22,23,277,1127,2956,1324,1632,279,127,855,21,23,2011,8,161,38,342,0,312,704,9653
MAHARASHTRA,THANE RURAL,2011,147,61,19,63,0,63,55,32,23,42,11,295,759,1168,529,639,345,50,364,8,26,788,10,105,18,57,0,650,964,6005
MAHARASHTRA,WARDHA,2011,37,33,2,34,0,34,26,23,3,10,4,34,247,681,129,552,86,10,53,5,56,693,3,88,45,62,0,167,1116,3492
MAHARASHTRA,WASHIM,2011,35,32,3,13,0,13,27,21,6,10,1,20,114,432,150,282,127,5,44,1,29,423,12,80,12,118,0,97,644,2279
MAHARASHTRA,YAVATMAL,2011,84,47,1,44,0,44,54,46,8,3,1,74,273,919,205,714,130,25,78,5,40,1005,8,118,37,198,0,255,1609,5008
MAHARASHTRA,AHMEDNAGAR,2012,111,91,5,61,0,61,59,49,10,48,14,262,481,1374,463,911,572,56,361,2,46,802,23,147,1,576,0,744,1410,7246
MAHARASHTRA,AKOLA,2012,42,34,3,19,0,19,22,19,3,3,2,49,191,677,129,548,107,23,103,21,33,720,4,92,40,87,0,172,998,3442
MAHARASHTRA,AMRAVATI COMMR.,2012,24,38,1,20,0,20,20,16,4,5,7,54,232,778,195,583,77,35,59,8,13,387,1,53,14,74,0,64,749,2713
MAHARASHTRA,AMRAVATI RURAL,2012,63,56,4,64,0,64,17,17,0,9,0,39,212,841,111,730,97,9,41,2,70,856,3,154,42,139,0,223,1501,4442
MAHARASHTRA,AURANGABAD COMMR.,2012,46,55,5,23,0,23,25,18,7,25,8,178,292,822,419,403,168,19,245,2,24,460,4,79,28,120,0,185,846,3659
MAHARASHTRA,AURANGABAD RURAL,2012,74,49,4,25,0,25,16,10,6,16,9,45,206,540,139,401,306,10,75,0,34,833,18,77,25,298,0,281,621,3562
MAHARASHTRA,BEED,2012,84,71,9,42,0,42,50,21,29,32,6,70,309,521,162,359,339,35,157,1,44,886,8,81,9,378,0,312,655,4099
MAHARASHTRA,BHANDARA,2012,20,11,3,26,0,26,11,8,3,3,1,31,141,430,57,373,34,11,46,0,23,378,3,36,33,59,0,157,562,2019
MAHARASHTRA,BULDHANA,2012,49,38,5,29,0,29,31,28,3,5,0,23,149,521,137,384,220,10,109,6,46,687,27,107,35,193,0,245,962,3497
MAHARASHTRA,CHANDRAPUR,2012,44,33,0,44,0,44,34,29,5,4,2,46,257,723,180,543,95,28,84,1,33,584,4,119,79,125,0,229,1195,3763
MAHARASHTRA,DHULE,2012,50,39,1,30,0,30,18,14,4,51,4,54,158,320,107,213,173,48,94,0,6,298,4,39,2,207,0,313,633,2542
MAHARASHTRA,GADCHIROLI,2012,57,69,2,18,0,18,9,6,3,4,0,3,70,146,19,127,21,1,12,1,29,174,0,30,5,12,0,102,216,981
MAHARASHTRA,GONDIA,2012,41,28,2,38,0,38,10,10,0,6,0,19,143,269,76,193,40,7,47,2,26,342,0,47,18,42,0,147,498,1772
MAHARASHTRA,HINGOLI,2012,25,16,1,13,0,13,10,5,5,1,3,7,48,115,23,92,99,6,30,0,14,320,6,33,3,88,0,115,438,1391
MAHARASHTRA,JALGAON,2012,102,77,4,45,0,45,43,39,4,38,3,81,254,882,247,635,241,94,244,5,24,699,1,134,51,409,0,434,1089,4954
MAHARASHTRA,JALNA,2012,45,69,6,25,0,25,25,18,7,19,11,71,220,396,155,241,221,23,100,1,26,565,36,89,9,303,0,176,615,3051
MAHARASHTRA,KOLHAPUR,2012,63,39,0,48,0,48,45,22,23,11,3,62,357,824,320,504,427,104,330,2,23,536,17,66,32,148,0,396,1021,4554
MAHARASHTRA,LATUR,2012,67,63,4,21,0,21,32,32,0,21,1,39,204,403,192,211,240,10,192,7,34,578,4,61,0,212,0,227,817,3237
MAHARASHTRA,MUMBAI COMMR.,2012,215,170,9,232,0,232,212,141,71,29,29,1131,2500,10851,4075,6776,374,564,1827,48,86,3939,11,614,235,388,0,621,6423,30508
MAHARASHTRA,MUMBAI RLY.,2012,8,3,2,1,0,1,7,5,2,1,2,423,4,1635,1,1634,11,11,32,2,0,60,1,21,3,0,0,4,94,2325
MAHARASHTRA,NAGPUR COMMR.,2012,88,85,15,57,0,57,53,39,14,13,29,491,883,2339,1334,1005,169,50,264,7,32,974,6,84,53,166,0,297,2122,8277
MAHARASHTRA,NAGPUR RLY.,2012,5,5,0,1,0,1,2,2,0,4,2,67,1,1073,18,1055,12,2,3,16,1,18,0,4,4,3,0,2,67,1292
MAHARASHTRA,NAGPUR RURAL,2012,55,30,7,29,0,29,15,15,0,8,9,42,210,862,160,702,66,32,54,3,46,561,7,82,20,76,0,404,1004,3622
MAHARASHTRA,NANDED,2012,81,57,1,48,0,48,37,32,5,18,3,47,317,476,172,304,276,24,170,4,52,963,25,71,5,421,0,282,1290,4668
MAHARASHTRA,NANDURBAR,2012,35,17,0,19,0,19,10,8,2,14,1,17,68,165,60,105,93,6,52,1,3,249,0,22,4,78,0,150,354,1358
MAHARASHTRA,NASIK COMMR.,2012,32,26,0,20,0,20,18,13,5,14,13,163,356,1070,615,455,94,28,139,17,16,229,3,36,16,147,0,184,1769,4390
MAHARASHTRA,NASIK RURAL,2012,87,63,7,46,0,46,29,20,9,33,9,91,219,611,207,404,403,57,183,10,24,734,17,98,26,319,0,718,1432,5216
MAHARASHTRA,NAVI MUMBAI,2012,57,20,2,36,0,36,19,11,8,6,7,417,596,1513,772,741,124,80,455,15,4,404,3,64,25,91,0,365,854,5157
